raw_file,n_samples,sfreq,n_windows,win_sec,step_sec
sub-NDARAN934AZL_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAN934AZL_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
sub-NDARAP049KXJ_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAP049KXJ_DiaryOfAWimpyKid_raw.npy,58698,128.0,457,2.0,1.0
sub-NDARAP049KXJ_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAP049KXJ_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP049KXJ_ThePresent_raw.npy,101644,128.0,793,2.0,1.0
sub-NDARAP176AD1_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP359UM6_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAP359UM6_DiaryOfAWimpyKid_raw.npy,58702,128.0,457,2.0,1.0
sub-NDARAP359UM6_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAP359UM6_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP359UM6_ThePresent_raw.npy,101532,128.0,792,2.0,1.0
sub-NDARAP457WB5_DespicableMe_raw.npy,85278,128.0,665,2.0,1.0
sub-NDARAP457WB5_DiaryOfAWimpyKid_raw.npy,58698,128.0,457,2.0,1.0
sub-NDARAP457WB5_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAP457WB5_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP457WB5_ThePresent_raw.npy,101638,128.0,793,2.0,1.0
sub-NDARAP522AFK_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAP522AFK_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAP522AFK_FunwithFractals_raw.npy,81494,128.0,635,2.0,1.0
sub-NDARAP522AFK_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP522AFK_ThePresent_raw.npy,101539,128.0,792,2.0,1.0
sub-NDARAP739AUP_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAP782TVC_DespicableMe_raw.npy,85275,128.0,665,2.0,1.0
sub-NDARAP782TVC_DiaryOfAWimpyKid_raw.npy,58700,128.0,457,2.0,1.0
sub-NDARAP782TVC_FunwithFractals_raw.npy,81496,128.0,635,2.0,1.0
sub-NDARAP782TVC_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP782TVC_ThePresent_raw.npy,101536,128.0,792,2.0,1.0
sub-NDARAP785CTE_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAP785CTE_DiaryOfAWimpyKid_raw.npy,58700,128.0,457,2.0,1.0
sub-NDARAP785CTE_FunwithFractals_raw.npy,81494,128.0,635,2.0,1.0
sub-NDARAP785CTE_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP785CTE_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAP912JK3_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAP912JK3_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAP912JK3_FunwithFractals_raw.npy,81494,128.0,635,2.0,1.0
sub-NDARAP912JK3_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAP912JK3_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
