unit,rmse,mse,r2,n_test,d,alpha,train_frac
146,4.366170433492162e-08,1.9063444254301135e-15,0.0,316,160,10.0,0.7
147,8.26955858264816e-06,6.838559915184984e-11,-4.321304825789051,238,160,10.0,0.7
148,2.1349877259140704e-08,4.558172589803734e-16,0.0,200,160,10.0,0.7
149,5.1468327616307416e-08,2.6489887476195526e-15,-0.47703659207652205,137,160,10.0,0.7
150,4.3196462104662303e-10,1.8659343383595264e-19,0.0,191,160,10.0,0.7
151,5.752674529769631e-10,3.3093264245460243e-19,0.0,316,160,10.0,0.7
152,2.7122147301762446e-06,7.356108742585e-12,-1.3720763325422527,238,160,10.0,0.7
153,1.0150533613497983e-09,1.0303333263875244e-18,0.0,200,160,10.0,0.7
154,9.861948080391524e-10,9.725801994033805e-19,0.0,137,160,10.0,0.7
155,5.354116974092567e-09,2.866656857226615e-17,0.0,191,160,10.0,0.7
156,1.341979154436821e-09,1.800908050942965e-18,0.0,316,160,10.0,0.7
157,1.0674822325713153e-09,1.1395183168554395e-18,0.0,238,160,10.0,0.7
158,3.131336558515859e-09,9.805268642697943e-18,0.0,200,160,10.0,0.7
159,1.6136459540027366e-09,2.603853264869402e-18,0.0,137,160,10.0,0.7
160,1.6129390480406747e-08,2.6015723726943575e-16,0.0,191,160,10.0,0.7
161,7.183103154598926e-09,5.159697092960904e-17,0.0,316,160,10.0,0.7
162,1.6971451725164049e-09,2.880301736595738e-18,0.0,238,160,10.0,0.7
163,5.636106090809642e-10,3.1765691866861545e-19,0.0,200,160,10.0,0.7
164,8.140807864321019e-10,6.627275268379094e-19,0.0,137,160,10.0,0.7
165,7.141213377749723e-10,5.0996928506551615e-19,0.0,191,160,10.0,0.7
166,1.1535035284810381e-09,1.3305703902182053e-18,0.0,316,160,10.0,0.7
167,5.298347629809693e-10,2.807248760630999e-19,0.0,238,160,10.0,0.7
168,1.1944377872959196e-10,1.4266816277203723e-20,0.0,200,160,10.0,0.7
169,1.4061602057606626e-10,1.9772865242648694e-20,0.0,137,160,10.0,0.7
170,6.150536245377864e-10,3.7829096105706843e-19,0.0,191,160,10.0,0.7
171,2.5454412251999298e-09,6.47927103094732e-18,0.0,316,160,10.0,0.7
172,1.8442354423839841e-10,3.40120436694525e-20,0.0,238,160,10.0,0.7
173,2.3807511666955e-09,5.667976117721985e-18,0.0,200,160,10.0,0.7
174,4.113811283276413e-08,1.692344327441233e-15,-29.100146731780203,316,160,10.0,0.7
175,3.629359954374817e-11,1.3172253678419575e-21,0.0,200,160,10.0,0.7
176,5.786151260826738e-12,3.347954641316685e-23,0.0,137,160,10.0,0.7
177,2.8924243358967682e-11,8.36611853888786e-22,0.0,191,160,10.0,0.7
178,1.4245659740589443e-06,2.0293882144465085e-12,-26730.889235595285,316,160,10.0,0.7
179,3.5349227266219567e-06,1.2495678683188407e-11,-10.60643462292389,238,160,10.0,0.7
180,8.31628259786236e-10,6.916055624750832e-19,0.0,200,160,10.0,0.7
181,5.36541599298032e-10,2.8787688777728995e-19,0.0,137,160,10.0,0.7
182,2.4593770680425807e-09,6.048535562813721e-18,0.0,191,160,10.0,0.7
183,2.3103369362797706e-09,5.337656759138597e-18,0.0,316,160,10.0,0.7
184,6.178624675785053e-10,3.817540288421995e-19,0.0,238,160,10.0,0.7
185,9.474407912395399e-10,8.976440529046054e-19,0.0,200,160,10.0,0.7
186,1.1612454933107907e-09,1.3484910957346216e-18,0.0,137,160,10.0,0.7
187,1.2203902284145156e-09,1.4893523096096333e-18,0.0,191,160,10.0,0.7
188,1.0559564595750919e-09,1.1150440445183627e-18,0.0,316,160,10.0,0.7
189,8.979950192232787e-10,8.063950545498167e-19,0.0,238,160,10.0,0.7
190,2.734522378495478e-09,7.477612638492566e-18,0.0,200,160,10.0,0.7
191,1.8159629586556983e-09,3.297721467209557e-18,0.0,137,160,10.0,0.7
192,5.532523176389602e-09,3.060881269728809e-17,0.0,191,160,10.0,0.7
193,5.862135675685212e-09,3.436463468014132e-17,0.0,316,160,10.0,0.7
194,1.616758139618155e-09,2.6139068820215572e-18,0.0,238,160,10.0,0.7
195,1.1237022534574494e-09,1.2627067544253496e-18,0.0,200,160,10.0,0.7
196,1.5803256035450485e-09,2.4974290132200215e-18,0.0,137,160,10.0,0.7
197,2.4722236760044945e-09,6.1118899041971765e-18,0.0,191,160,10.0,0.7
198,1.1887979851300955e-09,1.413240649449375e-18,0.0,316,160,10.0,0.7
199,1.254379828967205e-09,1.5734687553197944e-18,0.0,238,160,10.0,0.7
200,5.173521951419793e-10,2.6765329381822464e-19,0.0,200,160,10.0,0.7
201,5.037815662633649e-10,2.5379586650676907e-19,0.0,137,160,10.0,0.7
202,4.578422836915965e-10,2.0961955673593635e-19,0.0,191,160,10.0,0.7
203,2.9487133186945557e-09,8.69491023584666e-18,0.0,316,160,10.0,0.7
204,8.201870672607084e-10,6.727068253017219e-19,0.0,238,160,10.0,0.7
205,4.741998906881508e-10,2.2486553632865413e-19,0.0,200,160,10.0,0.7
206,5.457535823214158e-10,2.9784697261665845e-19,0.0,137,160,10.0,0.7
207,4.2170252624579323e-10,1.7783302064208392e-19,0.0,191,160,10.0,0.7
208,7.225500288243504e-10,5.220785441540696e-19,0.0,316,160,10.0,0.7
209,4.358349661258129e-10,1.899521176978885e-19,0.0,238,160,10.0,0.7
210,1.2409136886935514e-10,1.5398667827870364e-20,0.0,200,160,10.0,0.7
211,5.450337100112124e-10,2.9706174504858644e-19,0.0,137,160,10.0,0.7
212,1.4144166259288457e-08,2.0005743917039402e-16,-0.31007495613595903,191,160,10.0,0.7
213,3.153393578356118e-10,9.943891060017602e-20,0.0,316,160,10.0,0.7
214,6.261369540701424e-10,3.920474852522357e-19,0.0,238,160,10.0,0.7
215,6.758052074400385e-10,4.567126784030734e-19,0.0,200,160,10.0,0.7
216,6.847550447485466e-08,4.68889471308584e-15,0.0,137,160,10.0,0.7
217,7.556380619823045e-10,5.709888807163729e-19,0.0,316,160,10.0,0.7
218,1.1262101467164432e-06,1.2683492945670724e-12,0.0,238,160,10.0,0.7
219,4.086448388818419e-10,1.6699060434476651e-19,0.0,200,160,10.0,0.7
220,3.7990056637407726e-10,1.443244403313447e-19,0.0,137,160,10.0,0.7
221,4.214780931518295e-10,1.7764378300690225e-19,0.0,191,160,10.0,0.7
222,5.443211351409258e-10,2.9628549816110597e-19,0.0,316,160,10.0,0.7
223,4.76804157208205e-10,2.2734220433102664e-19,0.0,238,160,10.0,0.7
224,1.3949328550660122e-09,1.945837670142616e-18,0.0,200,160,10.0,0.7
225,1.4729184767646081e-09,2.1694888391945735e-18,0.0,137,160,10.0,0.7
226,3.7365281961981755e-08,1.3961642960983989e-15,0.14362444295797072,191,160,10.0,0.7
227,2.168968864460904e-09,4.704425935000823e-18,0.0,316,160,10.0,0.7
228,1.3868097265175147e-09,1.923241217563584e-18,0.0,238,160,10.0,0.7
229,1.4853653914052861e-09,2.206310345984579e-18,0.0,200,160,10.0,0.7
230,1.3306401368785197e-09,1.7706031738720854e-18,0.0,137,160,10.0,0.7
231,3.5854684126509527e-09,1.2855583738117742e-17,0.0,191,160,10.0,0.7
232,1.5416155080420597e-09,2.376578374635778e-18,0.0,316,160,10.0,0.7
233,9.82261983489646e-10,9.64838604209014e-19,0.0,238,160,10.0,0.7
234,4.751399901870202e-10,2.257580102749217e-19,0.0,200,160,10.0,0.7
235,6.590738985970237e-10,4.343784038118799e-19,0.0,137,160,10.0,0.7
236,4.938809275820272e-10,2.4391837062928355e-19,0.0,191,160,10.0,0.7
237,7.644602556893439e-10,5.843994825286169e-19,0.0,316,160,10.0,0.7
238,5.065965916971814e-10,2.566401067192007e-19,0.0,238,160,10.0,0.7
239,9.275924024408638e-10,8.604276650660135e-19,0.0,200,160,10.0,0.7
